Age	Gender
9	"male"
5	"male"
4	"female"
4	"male"
10	"female"
10	"female"
4	"male"
6	"male"
8	"female"
8	"female"
5	"male"
7	"male"
9	"female"
10	"female"
5	"male"
5	"male"
4	"male"
8	"male"
9	"female"
7	"female"
8	"male"
8	"female"
9	"male"
5	"female"
6	"female"
4	"male"
10	"male"
9	"female"
9	"female"
5	"female"
7	"male"
8	"female"
8	"female"
4	"female"
5	"male"
6	"male"
7	"male"
10	"female"
9	"female"
8	"male"
5	"female"
4	"male"
8	"male"
9	"male"
6	"male"
4	"male"
4	"female"
7	"female"
10	"male"
4	"male"
