"theta.cm" "ds.Ruth" "sem"
"1" 2.9 0.3002 0.01501
"2" 3.1 0.1339 0.01339
"3" 3.3 0.05623 0.0140575
"4" 3.7 0.255 0.0204
"5" 4.1 0.7469 0.037345
"6" 4.5 1.049 0.05245
"7" 4.9 1.32 0.066
"8" 5.3 1.045 0.05225
"9" 5.7 0.6612 0.03306
"10" 6.1 0.5137 0.035959
"11" 6.5 0.5893 0.041251
"12" 7 0.9051 0.045255
"13" 7.4 1.198 0.0599
"14" 7.8 1.238 0.0619
"15" 8.2 1.136 0.0568
"16" 8.6 0.7417 0.037085
"17" 9 0.6191 0.043337
"18" 9.4 0.4915 0.034405
"19" 9.8 0.4923 0.04923
"20" 10.2 0.4923 0.04923
"21" 10.7 0.4502 0.04502
"22" 11.25 0.4148 0.029036
"23" 11.8 0.2416 0.016912
"24" 12.3 0.1903 0.01903
"25" 12.8 0.1384 0.02076
"26" 13.3 0.1415 0.021225
"27" 13.8 0.1077 0.016155
"28" 14.3 0.09505 0.0237625
"29" 14.8 0.07519 0.0112785
"30" 16.4 0.02556 0.007668
"31" 18.4 0.005186 0.0020744
